hora,temp,press,ventvel,rad,chuva,act,classe
12,331,10078,11,1995,0,2227563678,normal
13,32,10076,13,1015,0,5714930562,normal
14,311,10075,12,4062,0,2209510514,normal
15,299,10079,9,2816,0,5439993659,normal
16,285,10083,9,1168,0,1132409309,normal
17,275,10091,8,-354,0,4993743579,normal
18,266,10096,9,-354,0,8322696884,normal
19,259,10102,9,-348,0,7559743064,normal
20,253,10102,8,-354,0,2244263872,normal
21,248,10099,5,-354,0,4965227545,anormal
22,245,10091,4,-354,0,2295663299,normal
23,238,10087,1,-354,0,2185570774,normal
0,235,10086,0,-354,0,4591352109,normal
1,232,10089,0,-354,0,5302434934,normal
2,23,1009,0,-354,0,150652278,normal
3,228,10095,0,-354,0,1740400192,normal
4,236,10103,0,4526,0,520234338,normal
5,264,1011,5,171,0,4530416225,anormal
6,286,10115,13,3036,0,1760630121,normal
7,298,10118,14,8135,0,2423828322,normal
8,316,10116,15,2210,0,1928338179,normal
9,317,10109,21,2262,0,9162490512,normal
10,332,10097,14,2357,0,2869894407,normal
11,333,10089,15,2565,0,1124528081,normal
12,331,10086,19,2059,0,2151791647,normal
13,33,10083,16,1928,0,2384008006,normal
14,317,10087,6,7923,0,5761792548,normal
15,306,10089,6,2036,0,2493386966,normal
16,294,10095,3,5051,0,73,normal
17,284,1010,7,-354,0,469,normal
18,273,10105,5,-354,0,39,normal
19,266,10108,7,-354,0,33,anormal
20,257,10105,9,-354,0,0,normal
21,252,10103,5,-354,0,1,normal
22,25,10098,9,-354,0,26,anormal
23,245,1009,4,-354,0,78,normal
0,242,10086,5,-354,0,29,normal
1,239,10088,6,-354,0,38,normal
2,235,10089,0,-354,0,81,normal
3,235,10093,0,-354,0,172,normal
4,239,1010,0,4362,0,294,normal
5,268,10107,8,1617,0,686,normal
6,289,10114,12,4078,0,1221,normal
7,305,10118,1,7155,0,1346,normal
8,314,10114,14,2222,0,1581,anormal
9,325,10107,13,2926,0,1235,anormal
10,332,10096,1,2869,0,1157,normal
11,339,10086,17,2640,0,951,normal
12,312,10081,15,1494,0,1015,normal
13,307,10078,16,1433,0,1041,anormal
14,303,10081,2,5206,0,497,normal
15,295,10084,17,3728,0,735,normal
16,284,10089,16,6082,0,852,normal
17,278,10097,18,-338,0,34,normal
18,272,10105,8,-354,0,58,normal
19,268,10109,7,-353,0,12,normal
20,265,10111,14,-354,0,174,anormal
21,262,10108,8,-354,0,224,normal
22,257,10099,6,-354,0,247,normal
23,253,10092,3,-354,0,183,normal
0,252,10087,1,-354,0,101,normal
1,247,10087,0,-354,0,115,normal
2,25,10087,1,-354,0,132,normal
3,248,10092,1,-354,0,146,normal
4,253,10099,3,422,0,39,normal
5,275,10112,11,1824,0,89,normal
6,293,10119,9,3548,0,1219,normal
7,30,10122,11,8157,0,1371,normal
8,32,1012,1,2419,0,1885,normal
9,311,10115,9,1543,0,1612,normal
10,315,10106,11,1240,0,1343,normal
11,309,10097,11,1048,0,1213,normal
12,315,10088,18,827,0,1166,normal
13,309,10086,22,5578,0,1126,normal
14,287,10086,8,2153,0,927,normal
15,294,10088,9,2698,0,949,normal
16,288,10094,7,1887,0,708,normal
17,278,10108,7,-353,0,343,normal
18,269,10112,7,-352,0,98,normal
19,263,10125,9,-348,0,67,anormal
20,26,10125,6,-354,0,59,normal
21,257,10122,4,-354,0,152,normal
22,253,10113,4,-354,0,138,normal
23,251,10108,6,-354,0,11,normal
0,246,10103,0,-354,0,107,anormal
1,245,10102,1,-354,0,128,normal
2,241,10105,0,-354,0,25,normal
3,24,1011,0,-354,0,274,normal
4,244,10113,1,5082,0,491,normal
5,269,10119,8,2221,0,1009,normal
6,288,10123,12,4882,0,1265,normal
7,293,10127,21,8544,0,1235,normal
8,307,10128,21,1847,0,1774,normal
9,312,10122,2,2038,0,1396,normal
10,312,10114,24,2114,0,1095,normal
11,309,10103,21,2142,0,1045,normal
12,317,10096,19,2247,0,964,normal
13,314,1009,2,1467,0,976,normal
14,31,10087,12,1038,0,747,normal
15,299,10092,8,309,0,548,anormal
16,287,10098,1,2899,0,509,normal
17,277,10103,8,-286,0,28,normal
18,269,10113,11,-354,0,9,normal
19,264,10119,1,-354,0,57,normal
20,259,10122,8,-354,0,57,normal
21,254,10119,7,-354,0,128,normal
22,25,10113,7,-354,0,119,normal
23,246,10106,6,-354,0,185,normal
0,241,10102,3,-354,0,221,normal
